word,pos
'hood,noun
's_gravenhage,noun
.22,noun
0,noun
1,noun
1-dodecanol,noun
1-hitter,noun
10,noun
100,noun
1000,noun
10000,noun
100000,noun
1000000,noun
1000000000,noun
1000000000000,noun
11,noun
11-plus,noun
11_november,noun
12,noun
12-tone_music,noun
12-tone_system,noun
120,noun
13,noun
14,noun
144,noun
14_july,noun
15,noun
1530s,noun
15_august_1945,noun
15_may_organization,noun
15_minutes,noun
16,noun
16_pf,noun
17,noun
1728,noun
1750s,noun
1760s,noun
1770s,noun
1780s,noun
1790s,noun
17_november,noun
18,noun
18-karat_gold,noun
1820s,noun
1830s,noun
1840s,noun
1850s,noun
1860s,noun
1870s,noun
1880s,noun
1890s,noun
19,noun
1900s,noun
1920s,noun
1930s,noun
1940s,noun
1950s,noun
1960s,noun
1970s,noun
1980s,noun
1990s,noun
1_chronicles,noun
1_esdras,noun
1_kings,noun
1_maccabees,noun
1_samuel,noun
1st-class_mail,noun
1st_baron_beaverbrook,noun
1st_baron_verulam,noun
1st_class,noun
1st_earl_attlee,noun
1st_earl_baldwin_of_bewdley,noun
1st_earl_of_balfour,noun
1st_lieutenant,noun
1st_viscount_montgomery_of_alamein,noun
2,noun
2-hitter,noun
2-hydroxybenzoic_acid,noun
2-methylpropenoic_acid,noun
20,noun
20/20,noun
21,noun
22,noun
22-karat_gold,noun
23,noun
24,noun
24-hour_interval,noun
24-karat_gold,noun
24/7,noun
25,noun
26,noun
27,noun
28,noun
29,noun
2_chronicles,noun
2_esdras,noun
2_kings,noun
2_maccabees,noun
2_samuel,noun
2nd_lieutenant,noun
3,noun
3-d,noun
3-hitter,noun
30,noun
30_minutes,noun
365_days,noun
366_days,noun
3d,noun
3d_radar,noun
3rd_october_organization,noun
3tc,noun
4,noun
4-hitter,noun
40,noun
401-k,noun
401-k_plan,noun
440_yards,noun
4to,noun
4wd,noun
5,noun
5-hitter,noun
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase,noun
5-hydroxytryptamine,noun
50,noun
500,noun
6,noun
60,noun
60_minutes,noun
6_june_1944,noun
7,noun
70,noun
78,noun
8,noun
80,noun
880_yards,noun
8_may_1945,noun
8vo,noun
9,noun
9-11,noun
9/11,noun
90,noun
a,noun
a'man,noun
a-bomb,noun
a-horizon,noun
a-line,noun
a-list,noun
a-scan_ultrasonography,noun
a-team,noun
a._a._michelson,noun
a._a._milne,noun
a._conan_doyle,noun
a._e._burnside,noun
a._e._housman,noun
a._e._kennelly,noun
a._e._w._mason,noun
a._noam_chomsky,noun
a._testudineus,noun
a.e.,noun
a_battery,noun
a_capella_singing,noun
a_cappella_singing,noun
a_horizon,noun
a_kempis,noun
a_la_carte,noun
a_level,noun
aa,noun
aaa,noun
aachen,noun
aaland_islands,noun
aalborg,noun
aalii,noun
aalst,noun
aalto,noun
aar,noun
aardvark,noun
aardwolf,noun
aare,noun
aare_river,noun
aarhus,noun
aaron,noun
aaron's_rod,noun
aaron_burr,noun
aaron_copland,noun
aaron_montgomery_ward,noun
aarp,noun
aas,noun
aave,noun
ab,noun
aba,noun
aba_transit_number,noun
abaca,noun
abacus,noun
abadan,noun
abalone,noun
abamp,noun
abampere,noun
abandon,noun
abandoned_infant,noun
abandoned_person,noun
abandoned_ship,noun
abandonment,noun
abarticulation,noun
abasement,noun
abashment,noun
abasia,noun
