word,pos
.22-caliber,adj
.22-calibre,adj
.22_caliber,adj
.22_calibre,adj
.38-caliber,adj
.38-calibre,adj
.38_caliber,adj
.38_calibre,adj
.45-caliber,adj
.45-calibre,adj
.45_caliber,adj
.45_calibre,adj
0,adj
1,adj
10,adj
10-membered,adj
100,adj
1000,adj
1000th,adj
100th,adj
101,adj
101st,adj
105,adj
105th,adj
10th,adj
11,adj
110,adj
110th,adj
115,adj
115th,adj
11th,adj
12,adj
120,adj
120th,adj
125,adj
125th,adj
12th,adj
13,adj
130,adj
130th,adj
135,adj
135th,adj
13th,adj
14,adj
140,adj
140th,adj
145,adj
145th,adj
14th,adj
15,adj
150,adj
150th,adj
155,adj
155th,adj
15th,adj
16,adj
160,adj
160th,adj
165,adj
165th,adj
16th,adj
17,adj
170,adj
170th,adj
175,adj
175th,adj
17th,adj
18,adj
180,adj
180th,adj
18th,adj
19,adj
190,adj
190th,adj
19th,adj
1st,adj
2,adj
2-dimensional,adj
20,adj
200,adj
200th,adj
20th,adj
21,adj
21st,adj
22,adj
22nd,adj
23,adj
23rd,adj
24,adj
24th,adj
25,adj
25th,adj
26,adj
26th,adj
27,adj
27th,adj
28,adj
28th,adj
29,adj
29th,adj
2d,adj
2nd,adj
3,adj
3-dimensional,adj
3-membered,adj
30,adj
300,adj
300th,adj
30th,adj
31,adj
31st,adj
32,adj
32nd,adj
33,adj
33rd,adj
34,adj
34th,adj
35,adj
35th,adj
36,adj
36th,adj
37,adj
37th,adj
38,adj
38th,adj
39,adj
39th,adj
3rd,adj
4,adj
4-dimensional,adj
4-membered,adj
40,adj
400,adj
400th,adj
40th,adj
41,adj
41st,adj
42,adj
42nd,adj
43,adj
43rd,adj
44,adj
44th,adj
45,adj
45th,adj
46,adj
46th,adj
47,adj
47th,adj
48,adj
48th,adj
49,adj
49th,adj
4th,adj
5,adj
5-membered,adj
50,adj
500,adj
500th,adj
50th,adj
51,adj
52,adj
53,adj
54,adj
55,adj
55th,adj
56,adj
57,adj
58,adj
59,adj
5th,adj
6,adj
6-membered,adj
60,adj
60th,adj
61,adj
62,adj
63,adj
64,adj
64th,adj
65,adj
65th,adj
66,adj
67,adj
68,adj
69,adj
6th,adj
7,adj
7-membered,adj
70,adj
70th,adj
71,adj
72,adj
73,adj
74,adj
75,adj
75th,adj
76,adj
77,adj
78,adj
79,adj
7th,adj
8,adj
8-membered,adj
80,adj
80th,adj
81,adj
82,adj
83,adj
84,adj
85,adj
85th,adj
86,adj
87,adj
88,adj
89,adj
8th,adj
9,adj
9-membered,adj
90,adj
90th,adj
91,adj
92,adj
93,adj
94,adj
95,adj
95th,adj
96,adj
97,adj
98,adj
99,adj
9th,adj
a-ok,adj
a-okay,adj
a-one,adj
a.m.,adj
a_cappella,adj
a_couple_of,adj
a_few,adj
a_la_carte,adj
a_la_mode,adj
a_posteriori,adj
a_priori,adj
abactinal,adj
abandoned,adj
abashed,adj
abasic,adj
abatable,adj
abatic,adj
abaxial,adj
abbatial,adj
abbreviated,adj
abdicable,adj
abdominal,adj
abdominous,adj
abdominovesical,adj
abducent,adj
abducting,adj
abecedarian,adj
aberdonian,adj
aberrant,adj
abeyant,adj
abhorrent,adj
abiding,adj
abient,adj
abiogenetic,adj
abject,adj
abkhaz,adj
abkhazian,adj
ablated,adj
ablative,adj
ablaze,adj
able,adj
able-bodied,adj
abloom,adj
ablutionary,adj
abnaki,adj
abnormal,adj
abolishable,adj
abolitionary,adj
abomasal,adj
abominable,adj
aboral,adj
aboriginal,adj
abortifacient,adj
abortive,adj
aboulic,adj
abounding,adj
about,adj
above,adj
above-mentioned,adj
above-named,adj
aboveboard,adj
aboveground,adj
abranchial,adj
abranchiate,adj
abranchious,adj
abrasive,adj
abreast,adj
abridged,adj
abroach,adj
abroad,adj
abrupt,adj
abruptly-pinnate,adj
abscessed,adj
absent,adj
absentminded,adj
absolute,adj
absolutist,adj
absolutistic,adj
absolved,adj
absolvitory,adj
absorbable,adj
absorbed,adj
absorbefacient,adj
absorbent,adj
absorbing,adj
absorptive,adj
abstemious,adj
abstentious,adj
abstinent,adj
abstract,adj
abstracted,adj
abstractionist,adj
abstractive,adj
abstruse,adj
absurd,adj
abulic,adj
abundant,adj
abused,adj
abusive,adj
abuzz,adj
abysmal,adj
abyssal,adj
academic,adj
acanthoid,adj
acanthotic,adj
acanthous,adj
acapnial,adj
acapnic,adj
acapnotic,adj
acarpellous,adj
acarpelous,adj
acarpous,adj
acatalectic,adj
acaudal,adj
acaudate,adj
acaulescent,adj
accelerando,adj
accelerated,adj
accelerative,adj
acceleratory,adj
accented,adj
accentual,adj
acceptable,adj
acceptant,adj
accepted,adj
accepting,adj
acceptive,adj
accessary,adj
accessible,adj
accessional,adj
accessorial,adj
accessory,adj
accident-prone,adj
accidental,adj
accipitrine,adj
acclivitous,adj
accommodating,adj
accommodational,adj
accommodative,adj
accompanied,adj
accompanying,adj
accomplishable,adj
accomplished,adj
accordant,adj
according,adj
accountable,adj
accoutered,adj
accoutred,adj
accredited,adj
accretionary,adj
accretive,adj
accrued,adj
acculturational,adj
acculturative,adj
accumbent,adj
accumulated,adj
accumulative,adj
accurate,adj
accursed,adj
accurst,adj
accusative,adj
accusatorial,adj
accusatory,adj
accusing,adj
accusive,adj
accustomed,adj
ace,adj
acellular,adj
acentric,adj
acephalous,adj
acerate,adj
acerb,adj
acerbic,adj
acerose,adj
acervate,adj
acetabular,adj
acetic,adj
acetonic,adj
acetose,adj
acetous,adj
acetylenic,adj
acetylic,adj
achaean,adj
achenial,adj
acheronian,adj
acherontic,adj
achievable,adj
aching,adj
achlamydeous,adj
achlorhydric,adj
achondritic,adj
achondroplastic,adj
achromatic,adj
achromatinic,adj
achromatous,adj
achromic,adj
achromous,adj
achy,adj
acicular,adj
aciculate,adj
acid,adj
acid-fast,adj
acid-forming,adj
acid-loving,adj
acid-tasting,adj
acidic,adj
acidimetric,adj
acidophilic,adj
acidophilous,adj
acidotic,adj
acidulent,adj
acidulous,adj
aciduric,adj
acinar,adj
acinic,adj
acinose,adj
acinous,adj
acknowledgeable,adj
acknowledged,adj
acned,adj
acneiform,adj
acold,adj
acorn-shaped,adj
acoustic,adj
acoustical,adj
acquainted,adj
acquiescent,adj
acquirable,adj
acquired,adj
acquisitive,adj
acquitted,adj
acrid,adj
acrimonious,adj
acritical,adj
acrobatic,adj
acrocarpous,adj
acrocentric,adj
acrogenic,adj
acrogenous,adj
acromegalic,adj
acronymic,adj
acronymous,adj
acropetal,adj
acrophobic,adj
acroscopic,adj
across-the-board,adj
actable,adj
actinal,adj
acting,adj
actinic,adj
actinoid,adj
actinometric,adj
actinometrical,adj
actinomorphic,adj
actinomorphous,adj
actinomycetal,adj
actinomycetous,adj
actinomycotic,adj
actionable,adj
activated,adj
activating,adj
active,adj
activist,adj
activistic,adj
actual,adj
actuarial,adj
actuated,adj
actuating,adj
acuate,adj
aculeate,adj
aculeated,adj
acuminate,adj
acute,adj
acyclic,adj
ad-lib,adj
ad_hoc,adj
ad_hominem,adj
adactylous,adj
adagio,adj
adamant,adj
adamantine,adj
adaptable,adj
adaptational,adj
adaptative,adj
adapted,adj
adaptive,adj
adaxial,adj
addable,adj
addible,adj
addicted,adj
addictive,adj
additional,adj
additive,adj
addlebrained,adj
addled,adj
addlepated,adj
addressable,adj
addressed,adj
adducent,adj
adducting,adj
adductive,adj
adenocarcinomatous,adj
adenoid,adj
adenoidal,adj
adept,adj
adequate,adj
adequate_to,adj
adherent,adj
adhesive,adj
adiabatic,adj
adient,adj
adipose,adj
adjacent,adj
adjectival,adj
adjective,adj
adjudicative,adj
adjudicatory,adj
adjunct,adj
adjunctive,adj
adjuratory,adj
adjustable,adj
adjusted,adj
adjustive,adj
adjuvant,adj
administrable,adj
administrative,adj
admirable,adj
admired,adj
admissible,adj
admissive,adj
admittable,adj
admittible,adj
admonishing,adj
admonitory,adj
adnate,adj
adnexal,adj
adolescent,adj
adonic,adj
adoptable,adj
adopted,adj
